iter	RMSE
207	1.768382399
208	1.762112644
209	1.755828747
210	1.752769496
211	1.748279186
212	1.745141824
213	1.739652123
214	1.731628126
215	1.726552852
216	1.718906586
217	1.712592361
218	1.70694839
219	1.703083897
220	1.696517614
221	1.689685041
222	1.682879573
223	1.676283932
224	1.671487785
225	1.665148486
226	1.660637373
227	1.655575187
228	1.651582121
229	1.645067142
230	1.63982795
231	1.633785718
232	1.630195216
233	1.626530896
234	1.620266477
235	1.613115741
236	1.605982852
237	1.600571093
238	1.593726574
239	1.588701776
240	1.58181507
241	1.577050272
242	1.573085189
243	1.567920667
244	1.562148999
245	1.557525129
246	1.551544046
247	1.545456315
248	1.538689942
249	1.532007862
250	1.527394671
251	1.520764834
252	1.516354042
253	1.511824823
254	1.504530432
255	1.500245851
256	1.494124065
257	1.489883894
258	1.487114808
259	1.483091121
260	1.475514694
261	1.469447138
262	1.464890738
263	1.462598021
264	1.4572355
265	1.45314795
266	1.448417752
267	1.444753784
268	1.441185102
269	1.439212831
270	1.432812078
271	1.430264115
272	1.42423783
273	1.419334143
274	1.41635817
275	1.414090321
276	1.410408525
277	1.40376098
278	1.400054841
279	1.396268256
280	1.39060939
281	1.385524491
282	1.380027294
283	1.37751817
284	1.374650425
285	1.370786284
286	1.365516826
287	1.362568732
288	1.359058864
289	1.354403794
290	1.35082763
291	1.347390487
292	1.346170023
293	1.344310634
294	1.339080502
295	1.334796718
296	1.329377425
297	1.326985659
298	1.324096441
299	1.320668896
300	1.317353713
301	1.312769895
302	1.309286082
303	1.307697501
304	1.303678151
305	1.299375504
306	1.296075896
307	1.293016283
308	1.286500599
309	1.28111859
310	1.276520535
311	1.273160774
312	1.26768288
313	1.263633264
314	1.260290671
315	1.256068835
316	1.25126943
317	1.244491497
318	1.239935727
319	1.23467354
320	1.23130657
321	1.22686525
322	1.225789058
323	1.223172716
324	1.218590167
325	1.214069658
326	1.20909992
327	1.204515622
328	1.202672626
329	1.198874424
330	1.194915984
331	1.191951037
332	1.188810356
333	1.185152158
334	1.181289917
335	1.177407882
336	1.172579515
337	1.168098132
338	1.164148634
339	1.161232131
340	1.157987571
341	1.155452577
342	1.152009065
343	1.148251801
344	1.145699148
345	1.143574673
346	1.140612602
347	1.137967201
348	1.136684988
349	1.133162876
350	1.129330248
351	1.126184862
352	1.122271416
353	1.11886418
354	1.114402396
355	1.111563794
356	1.108455033
357	1.104708901
358	1.101164823
359	1.097521924
360	1.095231977
361	1.092830547
362	1.088745934
363	1.086708887
364	1.083493786
365	1.079258137
366	1.074247849
367	1.071960274
368	1.069445624
369	1.064917652
370	1.061410964
371	1.05757573
372	1.051949696
373	1.050254501
374	1.046930254
375	1.042938587
376	1.040153738
377	1.038087475
378	1.035492698
379	1.032117665
380	1.02888496
381	1.025744013
382	1.023735385
383	1.021053301
384	1.018799833
385	1.01678713
386	1.014807842
387	1.013034093
388	1.010141417
389	1.006871621
390	1.003387755
391	1.001409435
392	0.9975858689
393	0.994307337
394	0.9922060618
395	0.9912495932
396	0.9887812299
397	0.9866872721
398	0.9851161854
399	0.9842926775
400	0.9808071377
401	0.9784093284
402	0.9749662242
403	0.9732876129
404	0.9709637243
405	0.9676374915
406	0.9637999881
407	0.9602710605
408	0.9565530023
409	0.9521375649
410	0.948762523
411	0.9450645662
412	0.9432012803
413	0.9412128801
414	0.9395677307
415	0.937325789
416	0.9360444209
417	0.9330420269
418	0.9321870672
419	0.9292933467
420	0.9276870467
421	0.9254904976
422	0.9237075751
423	0.9218666332
424	0.9186531283
425	0.9184943574
426	0.9156114628
427	0.9130361099
428	0.9109151302
429	0.9076462945
430	0.9046806724
431	0.9014541087
432	0.8998961612
433	0.8976819864
434	0.8956231791
435	0.892601929
436	0.8897074348
437	0.8873504117
438	0.885208836
439	0.8829684661
440	0.8802158047
441	0.877416859
442	0.8759501716
443	0.8735475775
444	0.8710659188
445	0.8677605471
446	0.865656709
447	0.8648670214
448	0.8634613614
449	0.8616878542
450	0.8594680632
451	0.8565742305
452	0.8546573874
453	0.8508297023
454	0.8482410489
455	0.8471954328
456	0.8455865425
457	0.8439567803
458	0.8424907216
459	0.8394980504
460	0.8379338024
461	0.8377525187
462	0.8362121816
463	0.8344275018
464	0.8312983363
465	0.8291893816
466	0.8276371617
467	0.8243597842
468	0.8226586532
469	0.8211596983
470	0.8181437364
471	0.8161180066
472	0.8147775976
473	0.8124717733
474	0.8094034642
475	0.8081171305
476	0.8054270063
477	0.803465134
478	0.8017997281
479	0.7990626606
480	0.7972574879
481	0.7948607865
482	0.7927167159
483	0.7915288434
484	0.7900211613
485	0.787813439
486	0.7866021057
487	0.7852906613
488	0.7823739737
489	0.7805606511
490	0.7786414586
491	0.7752886041
492	0.7731851927
493	0.7712885597
494	0.7686264233
495	0.7684491764
496	0.7677032735
497	0.7671825961
498	0.7648893363
499	0.76245325
